,Review,Harga,Kemasan,Efektivitas,Aroma
1,tekstur dari produk ini tuh kayak jelly yang diminum tapi menyerap dengan baik. sayangnya dia nggak cocok dikulit aku yang sensitif. agak sedikit bikin kulit panas dan membuat kulit ku jadi kemerahan.,0,0,-1,0
2,"Dengan harga sekian, kualitas oke. Bisa dipake buat melembabkan kulit atau make up lock. Aku pake ini make up jadi awet meski udah wudhu . Sayangnya kalau pake kebanyakan bikin kulit wajah aku lengket Harumnya menyegarkan",0,0,1,1
3,"beli ini karena murahh awalnya, tapi pas dipake langsung fallin' in lovee😍 buat daily emang paling cuma pake loose powder aja tp tetep aku set pake pixy ini ala-ala setting spray dan bikin muka kayak mulus tanpa poridan shining bgt, bisa ngebantu nahan minyak jugaaa",1,0,1,0
4,"Waktu di aplikasikan di mukaku tuh seger banget, dan wanginya juga gak terlalu strong jadi masih nyaman buat hidungku😂, nah kalau untuk lock make up kayaknya kurang cocok di aku, karena tetep luntur make up nya😢 tapi kalo untuk segerin itu ajib benerr",0,0,1,1
5,"Harganya murah, botolnya lucu tapi baunya agak nyengat ya mungkin ada alkoholnya, dimuka ku dia agak panas sih tapi dia bener bener bisa bikin makeup ku lebih tahan lama dan lebih matte, aku suka banget, kapan lagi dapet facemist murah brand lokal pula",1,1,1,-1
6,Face mist yang murce dan bagusss. Tapi dipakenya pas sebelum make up abis pelembab. Soalnya kalo dipake sesudah make up malah jadi kaya kucel *apa perasaan doang?* wkwkw. Kalo buat ketahanan lumayan sih,1,0,1,0
7,"Face mist ini saya pakai di malam hari setelah hydrating toner. Hasilnya bikin wajahku glowing dan lembab. Untuk wanginya, aku kurang suka. Setelah beberapa hari pemakaian, malah bikin wajahku nambah jerawat. belum pernah coba dipakai setelah make up sih.",0,0,-1,-1
8,"Pelembab malam dengan tekstur thick yang super ringan dapat menutrisi kulit, melembabkan dan mencerahkan kulit., ada kandungan niacinamide yang bagus banget buat mencerahkan. dapet melindungin kulit dari pacaran sinar Blue Light..",0,0,1,0
9,"Bagus! Pengaplikasiannya gampang, cepat meresap. Wanginya juga lembut. Ini pembelian saya yang kedua untuk produk ini. Efek di wajah saya juga oke. Berasa jerawat pada kempes setelah pakai night cream ini. Harganya juga murah.",1,0,1,0
10,Gak cocok di muka aku. Waktu dipakai ngak langsung nyerep gitu dimuka jadi kayak berminyak. Dan bener dong paginya mukaku jadi berminyak bangettt trs malah tambah kusam gitu keliatannya. Udah pake bbrp kali teryatta emang g cocok di aku.,0,0,-1,0
11,"Sayangnya tidak bekerja dengan baik dikulit aku :( aromanya juga aku gk suka, buat kulitku jadi memerah dan perih. Buat kulit jadi kyk kilang minyak juga. Nyobain ini karena emang penasaran aja sih.....",0,0,-1,-1
12,"Awalnya pakai satu rangkaian dan manjur banget, kulit langsung kelihatan cerah dan glowing tapi lama kelamaan produknya bikin resistance di muka ku, setelah pemakaian yang ke empat kalinya. repurchase? No, mau ganti skincare lainnya",0,0,-1,0
13,"bagus sih pertama kali pake wajah cerah gitu,g kusam trs glowing. alhamdulillah aku cocok g ada iritasi apa2, kalo sudah abis insyaallah bakal beli lg karna kusuka bgt sama produknyaa, aku pake semua rangkaian wardah white secretnya.",0,0,1,0
14,"Harganya lumayan mahal dan nggak terlalu ngefek dimuka yang kering, nggak ada aromanya kayak air putih disemprot dimuka aja rasanya, nyegerin tapi gak ada efek lain. Packagingnya lucu pink putih but yah for me its not really worth the money.",-1,1,-1,-1
15,"Biasanya Evian ini aku pakai sebelum atau setelah makeup. Bagus banget apalagi buat ku yg kulit nya kering, pakai ini jadi lembab bangett sukaaaa dan bikin seger muka juga kalo udah seharian diluar atau kena panas. Uda habis 3 botol kayanya. Repurchase? Yes!",0,0,1,0
16,Aku suka produk ini karna cukup menghidrasi kulit wajah dan membantu banget calming my skin ketika sensitif dan juga menyegarkan. Biasanya aku pakai before makeup supaya kulit lebih lembab dan after makeup supaya ngga cakey deh.,0,0,1,0
17,"Dulu waktu sempet tinggal di jakarta seneng banget beli ini karena sering diskon di guardian deket kantor. Tapi setelah pindah kota udah ga pernah beli lagi sih. Pas dipake enak banget di muka, partikel air dari spraynya juga halus jadinya ga basah belepotan.",0,0,1,0
18,"Krim ini malam ini ngebantu buat mencerahkan, menyamankan dan menyejukkan kulit, membantu menyamaratakan warna kulit, dan juga memberikan kelembaban sepanjang malam karena dengan kandung Bio Hialuroniknya, enakk sih dipakeeeee💛✨",0,0,1,0
19,"aku pakek ink udah lama banget sampek mau habiss :( tapi tetep yaa enggak ada efek untuk memutihkan wajahh, hanya saja wajah keliatan bersih dan sehat.. kalau teksturnya enak banget lembuttt kayak pakek serum gitu, baunya jugaa harumm pass gak keterlaluan ..",0,0,1,1
20,First time coba... Facial wash yg bentuk pump itu sm night creamnya. Pas pake night creamnya kok agak panas dan perih dikit y dimuka aku... Jd worry sih sebetulnya.. Jd g nyaman. Trasa berat aja gt di wjah gw. Semoga deh g nimbulin masalah yg aneh2 diwajahq 😞,0,0,-1,0
21,"Aku gak cocok pake ini bikin bruntusan, bikin seger sih. Tapi di pakai agak lengket gitu menurutku. Dan bikin make up pecah pecah. Mungkin aku rekomend buat yg wajahnya kering ya. Kalo yg oily aku kurang saranin. Karena bisa bikin bruntusan (tergantung kulit masing2)☺️",0,0,-1,0
22,Syukak pake ini. Bener-bener bikin wajah jadi lembab dan nyegerin. Biasanya aku pakai pas habis cuci muka trus di semprotin ke wajah. Kadang-kadang juga aku semprotin ke rambut haha. Aromanya enak-enak seger,0,0,1,1
23,"Face mist ini aku pakai di malam hari setelah hydrating toner dan serum. Wajah terasa lembab, glowing dan fresh. Wanginya aku suka dan tidak menyengat. Untuk semprotan nya sangat bagus dan menyebar. Cocok di wajah dan tidak bikin break out.",0,1,1,1
24,"Menurut aku ini biasa aja sih, nyegerin biasa aja dan wangi nya itu kayak aloe vera gel nya sama persis. tapi ini kandungannya ada alkohol dan fragance nyaa. jd buat yg sensitif ya pikir-pikir lagi ya :)",0,0,0,-1
